rate,review_text,object_address,cleaned_text,sentiment,pos_info_predicted,neg_info_predicted,neutre_info_predicted,unknown_info_predicted,pos_access_predicted,neg_access_predicted,neutre_access_predicted,unknown_access_predicted,pos_relation_predicted,neg_relation_predicted,neutre_relation_predicted,unknown_relation_predicted,pos_reactivite_predicted,neg_reactivite_predicted,neutre_reactivite_predicted,unknown_reactivite_predicted,pos_simplicite_predicted,neg_simplicite_predicted,neutre_simplicite_predicted,unknown_simplicite_predicted,address
1,Pas de formation possible Pas de financement possible refus sur refus de parcours Et rendez vous régulier inutile. Dire que soit disant on est la pour Aider les chômeurs a être réactif. Absurde !,"5 Rue de Quimper, 68100 Mulhouse",formation financement refus refus parcours inutile chômeur réactif absurde,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,"Aucun respect, j’explique pourtant bien mon soucis mais on fait exprès de ne pas comprendre et de faire tourner en rond. Pourtant tout les document son fourni.","5 Rue de Quimper, 68100 Mulhouse",aucun respect pourtant bien souci faire rond pourtant document fourni,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"5 Rue de Quimper, 68100 Mulhouse"
1,"Les fonctionnaires incompétents, arrogants et prétentieux, ils ont transformé pôle emploi comme un bunker, traitant les pauvres chômeurs comme des citoyens de cinquième classe, nous obligeant à mendier nos droits.","5 Rue de Quimper, 68100 Mulhouse",fonctionnaire incompétent arrogant prétentieux pôle bunker pauvre chômeur citoyen classe droit,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,"Aucun respect, j’explique pourtant bien mon soucis mais on fait exprès de ne pas comprendre. Un air hautain et discriminant. Je ne souhaite pas à ses personnes de rencontrer quelconque soucis de la vie, à moins qu’ils en accumulent tellement que c’est leur façon de se venger de leur vies médiocres, ennuyeuses, déprimantes.","5 Rue de Quimper, 68100 Mulhouse",aucun respect pourtant bien souci air hautain discriminant souci vie accumuler vie médiocre ennuyeuse déprimante,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,"Si je pouvais ne pas mettre d'étoiles je n'en mettrais pas, conseillère des indemnisations hyper désagréable. Des que j'ai décroché le téléphone elle a été agressive avec un air agacé. J'ai voulu qu'elle me rappel pour avoir des info en plus de notre échange par mail. Elle a été méprisante je cite : ""mais je vous l'ai écris par mail, qu'est ce que vous ne comprenez pas?""  ce permet de juger les gens et de faire des commentaires du genre ""il y a une chose a faire dans le mois je ne comprends pas comment les gens peuvent encore se tromper"". Elle n'est pas du tout professionnel. Quand je lui ai fais la remarque sur le fait qu'elle avait l'air énervé, elle a voulu raccrocher. La conseillère en question s'appelle Fabienne. Si vous ne n'aimez pas aider les gens ou répondre à leur question quite a vous répéter ne travailler pas le social. Merci","5 Rue de Quimper, 68100 Mulhouse",étoile mettrai conseiller indemnisation désagréable téléphone air agacer rappel info échange mail mail commentaire genre chose mois comprend professionnel luire remarque air conseiller question fabien question quite social,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,Une conseillère carrément hautaine au téléphone je faisais les démarches pour mon conjoint et celle-ci se permet de me parler d'une façon plus que méprisable cela donne vraiment envie de téléphoner.,"5 Rue de Quimper, 68100 Mulhouse",conseiller hautain téléphone démarche conjoint méprisable celer vraiment envie,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
4,Toujours très bien reçu surtout celle avec les cheveux violet 😁 …,"5 Rue de Quimper, 68100 Mulhouse",bien cheveux violet,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
5,"Bonjour, En bref, le personnel fait son travail, il répond au questions,trouve des solutions aux problèmes Ils sont sincèrement impliqués. Donc,rien à dire!!!","5 Rue de Quimper, 68100 Mulhouse",bonjour bref personnel travail question solution problème rien,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,Les travailleurs sous-scolarisés ont un fouillis de documents.,"5 Rue de Quimper, 68100 Mulhouse",travailleur fouillis document,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"5 Rue de Quimper, 68100 Mulhouse"
4,"Tout le monde est top (agents comme public), le moins c'est l'ascenseur qui ne marche pas.","5 Rue de Quimper, 68100 Mulhouse",monde agent public ascenseur,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
